date,us_inflation_yoy
2020-01-31,2.49
2020-02-29,2.33
2020-03-31,1.54
2020-04-30,0.33
2020-05-31,0.12
2020-06-30,0.65
2020-07-31,0.99
2020-08-31,1.31
2020-09-30,1.37
2020-10-31,1.18
2020-11-30,1.17
2020-12-31,1.36
2021-01-31,1.4
2021-02-28,1.68
2021-03-31,2.62
2021-04-30,4.16
2021-05-31,4.99
2021-06-30,5.39
2021-07-31,5.37
2021-08-31,5.25
2021-09-30,5.39
2021-10-31,6.22
2021-11-30,6.81
2021-12-31,7.04
2022-01-31,7.48
2022-02-28,7.87
2022-03-31,8.54
2022-04-30,8.26
2022-05-31,8.58
2022-06-30,9.06
2022-07-31,8.52
2022-08-31,8.26
2022-09-30,8.2
2022-10-31,7.75
2022-11-30,7.11
2022-12-31,6.45
2023-01-31,6.41
2023-02-28,6.04
2023-03-31,4.98
2023-04-30,4.93
2023-05-31,4.05
2023-06-30,2.97
2023-07-31,3.18
2023-08-31,3.67
2023-09-30,3.7
2023-10-31,3.24
2023-11-30,3.14
2023-12-31,3.35
2024-01-31,3.09
2024-02-29,3.15
2024-03-31,3.48
2024-04-30,3.36
2024-05-31,3.27
2024-06-30,2.97
2024-07-31,2.89
2024-08-31,2.53
2024-09-30,2.44
2024-10-31,2.6
2024-11-30,2.75
2024-12-31,2.89
2025-01-31,3.0
2025-02-28,2.82
2025-03-31,2.39
2025-04-30,2.31
2025-05-31,2.35
2025-06-30,2.67
2025-07-31,2.7
2025-08-31,2.92
2025-09-30,3.01
2025-11-30,2.74
2025-12-31,2.68
2026-01-31,2.39
2026-02-28,2.41
2026-03-31,3.26
2026-04-30,3.81
2026-05-31,4.25
2026-06-30,3.53
2026-07-31,3.36
